;;;;;
RUT CLIENTE;NOMBRE CLIENTE;NOMBRE OBRA;ID OBRA;CORREO CONTACTO;DIRECCION
13887480-k;Roberto Avila Madrid;Camina Los Andes;22824;ravila@colegiosanbenito.org;Forestal 2052/21
96538850-8;Sociedad Inmobiliaria Piedra Roja S.A.;CAMINO LAS FLORES;22797;OBRALASFLORES@GMAIL.COM;CAMINO LAS FLORES 10386
77137270-8;CONSTRUCTORA STANGE HERMANOS LIMITADA;CAMINO PERIMETRAL CEMENTOS MELON;28053;marina.prevencion@gmail.com;camino pargua km 1039
8895178-6;GONZALO CORNEJO CHAVEZ;CANDIDATURA ALCALDICIA 2012;22060;;AV. RECOLETA 1877
76959890-1;SIENA CONSTRUCTORA S.A.;CANQUEN NORTE;22731;;JOSE SABAT - CHICUREO S/N
81106900-0;COOPERATIVA REGIONAL ELECTRICA LLANQUIHUE LTDA.;CAPACITACION ACHS TRABAJOS EN ALTURA;24728;jcastro@crell.cl;RUTA 5 SUR KM. 1006.85
13866447-3;LUIS REYES OÑATE;CAPILLA FRUTILLAR;24700;reyeslo@ldschurch.org;SAN PEDRO 440
76606320-9;Constructora Ingetasco Limitada;CARMEN CITY;24573;mcalderon@ingetasco.cl;CARMEN 439
89651600-0;Const. e Inmob. Magal Limitada;Carolina Rabat 4 Etapa B;23176;roberto.gorodisher@magal.cl;Parque Antonio Rabat 6368
76048229-3;INNOVA INGENIERÍA Y CONSTRUCCIÓN LTDA.;CASA 17  CRISTOBAL - NACHA;28004;DPEREIRA@INNOVALTDA.COM;AV. LOS BRAVOS  5025
96935130-7;INVERSIONES 16 DE MARZO S.A.;CASA 8;22829;constructora@menaingenieros.cl;NICASIO RETAMALES 44
96935130-7;INVERSIONES 16 DE MARZO S.A.;CASA 9;22831;constructora@menaingenieros.cl;NICASIO RETAMALES 44
10647738-8;PATRICIA LORENA QUIROGA FICA;CASA ALEJANDRO STAMATIU;22041;hdacoyhaique@gmail.com;AVENIDA LOS LAURELES PARCELA 25
76007453-5;Constructora Mauricio Montero EIRL;Casa Alfarera;22720;mauriciomontero@vtr.net;Camino El Cajon  19801
77973680-6;Constructora Algorta Ltda.;Casa Andres Paul;21818;;Ermita de Claraval 3990
76440370-3;Constructora Ibanez Barahona Ltda.;CASA ANTILHUE;23201;;ANTILHUE 6588
76407140-9;Comercial Lumen Ltda.;Casa Araya Mertz;23113;alonsocanales@gmail.com;Lomas de la Dehesa  9360
96797660-1;INMOBILIARIA INVERSIONES ASESORIAS Y CONSTRUCCION INVASCO S.A.;Casa Araya Mertz;23916;incas.proyectos@gmail.com;AVDA. GOLF LOMAS DE LA DEHESA  9360
96528140-1;Constructora L y D S.A.;CASA AURORA;23756;claudio.herrera@ldconstructora.cl;Via Aurora 9647
78616630-6;CONSTRUCTORA LAS TERRAZAS S.A;CASA B1 SANTUARIO DE LA LAGUNA;24002;bodega.pmontt@enaco.cl;AV. VOLCAN CHOSHUENCO 4982
9454481-5;FELIX JUAN MATAMALA ROMERO;CASA BACIGALUPO;24459;info@constructoramalleco.cl;LOS KINGOS, BOSQUE DE MONEMAR 890
78616630-6;CONSTRUCTORA LAS TERRAZAS S.A;CASA BANDURRIA SANTUARIO DE LA LAGUNA II;23664;;RENATO SANCHEZ 4332
76036722-2;EMPRESA CONSTRUCTORA LACAR;CASA BARRANCON;24650;pparentini@yahoo.com;CAMINO EL BARRANCON 2526
76440370-3;Constructora Ibanez Barahona Ltda.;Casa Barriga II Etapa;21808;;Los Ginko 13311
76843150-7;Emp de const. y disenos Arquitec. Juan Ramirez EIRL;Casa Becerra;23288;jpramirez@dstudio.cl;Av. Paul Harris Central 543
76279674-0;SERVICIOS DE INGENIERIA Y CONSTRUCCION GVO SPA;Casa Benavente Quintana;23593;gvialortuzar@gmail.com;Costanera Viento Norte Parcela 4
76068342-6;Co. VRK Ing. Ltda.;Casa Beranda Cachagua;21871;;Avda. Domingo Sur 85-c, Lote 20-B S/N
78131550-8;Constructora San Nicolas;Casa Blanca;22563;;Camino Lo Ovalle Km 10 1/2 s/n
76036722-2;EMPRESA CONSTRUCTORA LACAR;CASA BOULEVARD JARDIN DE LOS PAJAROS;22680;jaimeignacio@yahoo.com;BOULEVARD JARDIN DE LOS PAJAROS NORTE 4636
76236621-5;Constructora Alzza Ltda;CASA BUSTOS - CASA ARISTIA;23157;constructor@alzza.cl;ALICURA 4373
24473165-1;ALEXANDER LORENZ;CASA CABAÑA RALUN;24309;alex@j88k.com;CASILLA  1048
77382510-6;SOCIEDAD CONSTRUCTORA SAN JOSE LIMITADA;CASA CANEPA;24043;amosqueira@arqoffice.cl;BAHIA INGLESA LOTEO LAS BAHIAS S/N
76189113-8;RUIZ SOLAR ARQUITECTURA Y CONSTRUCCION LTDA;CASA CAVALLA;23971;ericsolarsalvo@gmail.com;VIA AUORRA 9714
76060625-1;Constructora VDZ Spa.;Casa Central Integra;22755;pordenes@vdz.cl;Alonso Ovalle 766
10674735-0;TOMISLAV MATIJEVIC VON DER WETH;Casa Chaparro Matijevic;23968;contacto.bauman@gmail.com;Condominio Hacienda de Chicureo Sitio 219 SN
78616630-6;CONSTRUCTORA LAS TERRAZAS S.A;CASA CODORNIZ SANTUARIO DE LA LAGUNA II;23666;;RENATO SANCHEZ 4332
76248177-4;RE CONSTRUCTORA LTDA.;CASA CONDESA;24395;brianbudgeon@gmail.com;PHILLIPHI 107
76098948-7;COMERCIALIZADORA HERNAN CASTILLO LARACH E.I.R.L;Casa Curauma;22598;felipeandres.cortes@gmail.com;Av. El Tranque, El Peral 124
96988100-4;INGENIERIA Y CONSTRUCCION PUERTO PRINCIPAL S.A;CASA DE LA CULTURA DE LOS VILOS;22397;ejorquera@icpp.cl;COSTANERA 440
78742000-1;KRAS CONSTRUCCIONES LIMITADA;CASA DE LA CULTURA PAC;21800;jose.lopez@kras.cl;PASEO GRONHERT 5510
70023790-7;FUNDACION EDUACIONAL LAS ARENAS;CASA DE RETIRO ALCONES;23688;gcastanon@bravoizquierdo.cl;CIUDAD DE LOS ALCONES S/N
76086283-5;Constructora Puclaro Ltda.;Casa del Sol;22589;rosacb@constructorapuclaro.cl;Camino del Sol 3895
11645571-4;CLAUDIO FERNANDO DIHMES SAURE;CASA EL ALGARROBAL;22138;claudio.dihmes@fyh.cl;CALLE VERBENAS,   PARCELA N 5
76008811-0;INGEKALT;CASA FONTECILLA;22936;;LO FONTECILLA 700
76216732-8;R+R Constructora e Ingenieria E.I.R.L.;CASA FRASER-BECERRA;22800;rrconstructoraing@gmail.com;Condominio Los Bosques Piedra Roja Chicureo Sitio J12
76037140-8;ESTRADA ARQUITECTOS LTDA.;Casa Galia;23572;francisco@estradaarquitectos.cl;Camino Gran Vista 4416
76143716-K;XIMENA ARAVENA FIGUEROA E.I.R.L.;CASA GALLARDO;21891;ximena@xafgroup.com;CALLE LAS CODORNICES, COND. SANTA MARiA S/N
77071460-5;CONSTRUCTORA BOETSCH SUR LTDA.;CASA GARCES;24490;pfreund@boetschsur.cl;FUNDO PUYUMEN - LOTEO LOS HUALLES S/N
6244028-7;Patricio Antonio González Jilberto;casa gonzalez ortega;24270;raul_altamirano_39@yahoo.es;tomas tubino 1306
76057203-9;CONSTRUCTORA MAHUIDA Y CIA LTDA.;CASA GUZMAN AHUMADA;26819;j.seco@constructoramahuida.cl;DEL PUENTE  321
10060625-9;ERWY WALTER RUMUALDO FLAIS SAEZ;CASA HABITACION;26862;;CRISTINA WINKLER 360
10068510-8;LUIS GUILLERMO GONZALEZ GALAZ;CASA HABITACION;23836;luisgg064@gmail.com;RAMON RICARDO ROSAS 051
10980368-5;JOSE LUIS DONDERO FAUNDEZ;CASA HABITACION;23824;JOSE.DONDERO@GMAIL.COM;RUTA V505 KM 4 PARCELA  10
12127384-5;MAURICIO A. WULF BELLO;CASA HABITACION;24688;;LOTEO SAN ALFONSO PARCELA 20
12936576-5;MIGUEL R. PORTUS ORTEGA;CASA HABITACION;24157;mportus@agrosuper.com;PARQUE EDELWAIS - PARCELA 13
13570284-6;ANDRES STEINER CAÑAS;CASA HABITACION;25770;;TUCAPEL 321
16258448-0;YOHANA LOEBEL HAEGER;CASA HABITACION;27928;gerhoff@hotmail.com;LONCOTORO  S/N
76099510-k;PSS Ingenieria y Montaje Electrico Ltda.;Casa Habitacion;21822;;Santa Teresa de Tango 3640
9070073-1;CONSTANTINO SIDERAKIS VILLALOBOS;CASA HABITACION;24037;constantino.siderakis@gmail.com;PARQUE EDELWAISS PARCELA 9
9938077-2;HUGO PAYACAN GONZALEZ;CASA HABITACIÓN;24094;hugo@dom.cl;pasaje 17 12847
13824432-6;JUAN MOISES VILLARROEL VARGAS;CASA HABITACION CRISTIAN ROSAS;24419;juanv@constructorajv.cl;PARCELACION LAS GOLONDRINAS PAR. 9
77440720-0;Empresa Constructora Seegal y Cia Ltda.;Casa Harrison;24578;maraya@seegal.cl;Calle Los Queltehues 4805
78616630-6;CONSTRUCTORA LAS TERRAZAS S.A;CASA IDAHUE SANTUARIO DE LA LAGUNA II;23662;;RENATO SANCHEZ 4332
76308913-4;SANTIAGO ADVANCE SA;CASA JOHANSEN SANGUINO;23290;;ALGARROBAL  2 LOTE 15
76054360-8;SOCIEDAD CONSTRUCTORA E INMOBILIARIA G DOS LIMITADA.;CASA JORGE BUSCHMANN;26775;g2arquitectos@yahoo.es;KILOMETRO - RUTA 215 65
77113720-2;COLLICO LTDA.;CASA JUAN CARLOS CABALLERO;22220;jcaballero@manquehue.net;CAMINO GRAN VISTA 4455
76008811-0;INGEKALT;CASA LA CABAnA;23540;;LA CABAnA 288
76037140-8;ESTRADA ARQUITECTOS LTDA.;CASA LA RABIDA;22119;;LA RABIDA 5462
76440370-3;Constructora Ibanez Barahona Ltda.;CASA LAS BRISAS;22802;;SITIO I-15 I-15
76008811-0;INGEKALT;CASA LAS FLORES;28072;ekaltwasser@ingekalt.cl;LAS FLORES  10999
14471951-4;Bernardita Rodriguez;Casa Leon;23739;;Leon  3787
76174024-5;CONSTRUCTORA COPAHUE;CASA LEONARDINI;22185;;ROSITA RENARD 1151
77601990-9;VERGARA Y CIA. LTDA.;CASA LETELIER;23938;lcruzwood@gmail.com;VIA ROJA 4657
76440370-3;Constructora Ibanez Barahona Ltda.;CASA LEVI;23925;david.molina.cuevas@gmail.com;avenida del valle 961
76390903-4;INMOBILIARIA & CONSTRUCTORA ARQUIT & CONST S.p.A;CASA LO AGUILA, CURACAVI;27935;empresa.arquityconst@gmail.com;SECTOR LOS NARANJOS, LO ALTO DEL AGUILA LOTE 7, SITIO 23
76440370-3;Constructora Ibanez Barahona Ltda.;CASA LOFT;24031;rodrigo.vasquez@ecibl.cl;AVENIDA DEL VALLE 961
10791804-3;LORENA MOLINA CISTERNAS;CASA LORENA MOLINA;23987;;CALLE 2 1013
78526730-3;SKEMA LTDA.;CASA LOS JESUITAS;22808;;LOS JESUITAS 718
79885340-6;CONSTRUCTORA GERARDO INFANTE Y CIA. LTDA.;CASA LOS SAUZALES;22742;;AVENIDA VITACURA 2909
76104801-5;Cloud Services e Inmobiliaria M&S SPA;Casa M&S;24732;ocubillos@trazas.cl;Rio Weser 265 Sitio H8 Condominio Los Rios I 265
76002253-5;CONSTRUCTORA TIERRA AUSTRAL LTDA;CASA MAGNASCO;28030;pavendano@ctaustral.cl;RIO BONITO - LAGO RUPANCO S/N
76406286-8;Constructora Rojas y Asociados Ltda.;Casa Maitencillo;24023;diego0718@hotmail.com;Avenida del Mar 3804 B
76037140-8;ESTRADA ARQUITECTOS LTDA.;Casa Manuel Bishara;21999;;Malalhue 4440
89244600-8;SOC. CONSTRUCTORA LOS LAGOS;CASA MIRADOR;24123;nelson.villarroel.m@hotmail.com;Parque mirador, Parcela 19, calle los estribos S/N
76022955-5;Constructora Tocal Ltda.;Casa Modena Chile Etapa III;22538;waldo.gajardo@tocal.cl;Av. Portales 3586
13824432-6;JUAN MOISES VILLARROEL VARGAS;CASA MONTECINOS;24768;jcabreramolina@gmail.com;PARCELA EL ARBORETO  3
85237600-7;SALVADOR HERNANDEZ Y CIA LTDA;CASA MORA - PEDRO FONTOVA;22406;s.hernandez@tie.cl;PEDRO FONTOVA s/n
78499720-0;CONSTRUCTORA JURASAR LIMITADA;CASA MUnOZ MORALES;21959;;AV. SAN CLEMENTE  PARCELA 16
76342577-0;INVERSIONES KLENNER Y GUARDA LTDA.;CASA NATALIA OYARZO;24180;gvservicios@hotmail.com;PARCELACION SANTA ROSA S/N
78069880-2;EMPRESA CONSTRUCTORA MARCHETTI;CASA PABLO MARCHETTI;21927;rgutierrez@constructoramarchetti.cl;JULIA BERSTEIN  850 - A1
10961380-0;MILOSLAV MARKO GARDILCIC MOLINA;CASA PARTICULAR;28023;milogardilcic@hotmail.com;FUNDO LA ESPERANZA - RUTA 225 -LOTE B
10973864-6;Gloria Meyer;Casa Particular;23803;gmeyer@uc.cl;Lago Rupanco Parcela 25 s/n
11703878-5;SALVADOR ENRIQUE COFRE BARRUEL;CASA PARTICULAR;24612;s.cofrebarruel@gmail.com;LOTEO NORTE ALTO LLANQUIHUE S/N
13714755-6;CARLOS SCHMIDLIN ESPINOZA;CASA PARTICULAR;22508;PERSONAL DOM;ESTUDIANTE NAVARRO 1864
14351440-4;DANIEL LAGOS CARRASCO;CASA PARTICULAR;23891;ricardo_ellena@hotmail.com;PARCELACION EDELWAIS - PUENTE MINTE S/N
17516095-7;Dahianna Belen Lagos Vidal;Casa Particular Buin;22975;;la paricion de paine 16
76309553-3;Constr. y serv. de ing. Fuentes y Guerrero ltda.;Casa Particular Miranda;23718;dfuentes@fuguer.cl;Parcela Santa Maria 1 de Chamisero 108
76004340-0;Arquitectura, Construccion, Diseño y Publicidad PM200 Ltda.;Casa PD;24354;falbornoz@pm200.cl;Aries Norte 9555
13160612-5;Marcos Mendoza Oliva;Casa Peñaflor;24516;mendozaclimatizacion@gmail.com;Las Palmeras Parcela 3 lote B sn
77601990-9;VERGARA Y CIA. LTDA.;CASA PEREIRA;22306;vergaraycia@manquehue.net;SITIO F-6 -  ETAPA A - LAS BRISAS DE CHICUREO
9300609-7;CARLOS HENRIQUEZ GARRIDO;CASA PERSONAL;24062;carloshenriquezg@gmail.com;ALTAS CUMBRES 729
13848561-7;CAROLINA ANDREA WERNER HOFFMANN;CASA PETACCIA;21873;rodrigo@grupoconstruye.cl;EL ALGARROBAL 2 PARCELA V-2 S/N
76100269-4;Sociedada Constructora Los Toros Ltda.;Casa Petaccia;23238;rodrigo@grupoconstruye.cl;El Oidor 1898
76361923-0;SOCIEDAD CONSTRUCTORA KLI LTDA.;Casa Pino;23903;medinaginepro@gmail.com;Opalo, La Reserva, Chicureo   22
76065942-8;DOS MAS DOS S.A;CASA PRAGA;23387;fcuevas@empresasarmas.cl;Boulevad Jardin de los Pajaros Norte 4636
76177317-8;Constructora S & T Limitada;Casa Prieto;22869;asepulveda@constructoramacep.cl;Camino a la fuente 1669
76206912-1;CONSTRUCTORA MONTANO SA;CASA QUIYALLES;23583;patricio.espinoza@enaco.cl;AVENIDA LA DEHESA  3551
76199627-4;ALMAZAN ARQUITECTURA Y CONSTRUCCION LIMITADA;CASA R2;26872;anibal@almazanltda.cl;LOTE nº2, SECTOR DESAGUE RUPANCO S/N
76039544-7;ASESORIAS E INVERSIONES BAHUEN LTDA.;Casa Riquelme;24702;jcrk@arquis.cl;Gran Vista 4437
76440370-3;Constructora Ibanez Barahona Ltda.;CASA ROSSELOT;24324;ingeniero3@ecibl.cl;AVENIDA SANTA MARIA SN
76130556-5;TGF CONSTRUCTORA LTDA.;CASA SANTA ELENA;22530;ozg@tgfgruppo.cl;SANTA ELENEA SUR PARCELA N6  LOTE 5A
10674742-3;Branimir Zvonimir Matijevic Von der Weth;Casa Schnake-Matijevic;24027;eveloz@uc.cl;Calle Las Loicas Condominio Las Brisas de Chicureo Sitio J10 C
76097734-9;CONSTRUCCIONES Y MONTAJES PATRICIO GARRETON LTDA.;CASA SILBERSTEIN;27893;nfreund.battier@gmail.com;Sendero de la peninsula, valle escondido 2856
76097734-9;CONSTRUCCIONES Y MONTAJES PATRICIO GARRETON LTDA.;Casa Sinay;24709;const.ymontaje@gmail.com;Santa Magdalena, oficina 801 75
76170186-K;CONSTRUCTORA CN S.A;Casa sitio 237, Polo Manquehue, Chicureo;22478;cmozo@constructoracnsa.cl;Sitio 237, Condominio Polo Manquehue I -
13824432-6;JUAN MOISES VILLARROEL VARGAS;CASA SRA. PILAR SEARLE;23873;ajesus.industrial@gmail.com;CAMINO ENSENADA PLAYA NIKLITSCHECK S/N
9857610-K;FRANCISCO DOMINGUEZ VILLANUEVA;CASA SUR;23236;EDGARDO@DOM.CL;COLOOMBIA 0599
84394000-5;Constructora Inca Ltda.;Casa Torres;24341;jose.lemus@empresasinca.cl;Condominio Hacienda Chicureo  Sitio 393
84394000-5;Constructora Inca Ltda.;Casa Torres Chicureo;24547;ivan.cornejo@empresasinca.cl;Hacienda Chicureo Parcela  393
76057203-9;CONSTRUCTORA MAHUIDA Y CIA LTDA.;Casa Undurraga Gonzalez;23981;j.seco@constructoramahuida.cl;Parcelacion el Pangue 62
77601990-9;VERGARA Y CIA. LTDA.;CASA URETA;22351;vergaraycia@manquehue.net;Hacienda Chicureo Sitio 380
76148667-5;Comercial Fenix Ltda.;Casa Ureta Cox;24169;SEBECON@GMAIL.COM;Ureta Cox 233
78588540-6;CONSTRUCTORA NUEVO AMANECER LTDA.;CASA URQUIETA/AGUIRRE;22753;cna.obra@gmail.com;SAN DANIEL 130
96889780-2;CONSTRUCTORA JORGE CARRASCO FARIAS S.A.;CASA URRUTIA;28090;jcatriao.jcf@gmail.com;PARQUE ANTONIO RABAT 6100
76170186-K;CONSTRUCTORA CN S.A;CASA URRUTIA CERRO LA PAVA;24358;orubio@ccnsa.cl;condominio cerro la pava, sitio 72 72
76057203-9;CONSTRUCTORA MAHUIDA Y CIA LTDA.;CASA URRUTIA LUXORO;28080;vergaraservices@gmail.com;PARCELACION PLAYA VENADO PARC. 16
76170186-K;CONSTRUCTORA CN S.A;Casa Velasco;22612;cmozo@constructoracnsa.cl;Sitio 54, Condominio Polo Manquehue II 54
76008811-0;INGEKALT;CASA VIA BLANCA;28032;ekaltwasser@ingekalt.cl;CALLE VIA BLANCA  7721
76248177-4;RE CONSTRUCTORA LTDA.;CASA VICENTE CASTRO;23760;brianbudgeon@gmail.com;EL ALBA - CLUB DE GOLF S/N
76267732-6;CONSTRUCTORA VELARCO SPA;CASA VINAGRE - TAGLE;27912;msotomayor@velarco.cl;RUTA U-55V CAM.CASCADAS SECTOR PITIOS S/N
96844950-8;Ebco S.A.;CASA ZAPALLAR;23058;victor.veliz@ebco.cl;SANTA MARIA  2450
76525290-3;EBCOSUR S.A.;CASAMAR ANCUD IV ETAPA;23964;patricioeduardo1966@gmail.com;ANTONIO BURR S/N
79847840-0;EMPRESA CONSTRUCTORA ELQUI LTDA;CASAS 4 ESQUINAS;23391;harancibiah@gmail.com;ESQUINAS S/N
76051414-4;ADM. Y COMERCIAL TERRANOVA LTDA;CASAS CHAMISERO;23263;constructormontes@yahoo.es;PORTS CHAMISERO SITIO 85 S/N
86454800-8;CONSTRUCTORA QUEYLEN S.A.;CASAS CUMBRES DE CHAMISERA ADICIONAL;23604;;AV ALONSO DE CORDOBA 2600  OFICINA 41
86454800-8;CONSTRUCTORA QUEYLEN S.A.;CASAS CUMBRES DE CHAMISERO II ETAPA;23600;;AV ALONSO DE CORDOVA 2600
86454800-8;CONSTRUCTORA QUEYLEN S.A.;CASAS CUMBRES DECHAMISERO;23606;;AV. ALONSO DE CORDOVA 2600  OFICINA 41
76246895-6;MOMENTA CONSTRUCCIONES S.A.;CASAS DE LOS BOSQUES DE PIEDRA ROJA;28007;Hector.saez@momenta.cl;LOS CIPRESES # 32 , CONDOMINIO LOS BOSQUES – PIEDR ROJA 32
76085769-6;SOCIEDAD CONSTRUCTORA EL DORADO LTDA.;CASAS EL REMANSO;22056;RODRIGUEZ1240@GMAIL.COM;AVENIDA EL REMANSO, CALLE GRAN VISTA 11115
76160063-K;INMOBILIARIA Y CONSTRUCTORA VERTICAL SPA;CASAS LLAS CONDES;21963;wavila@constructoravertical.cl;Republica de Honduras 11600
86856700-7;CONSTRUCTORA NOVATEC S.A.;Casas Lomas de Eyzaguirre;21973;jbaeza@novatec.c;Avenida Eyzaguirre 02525
76170186-K;CONSTRUCTORA CN S.A;CASAS LOS CASTAnOS;23163;;RIO MAULE ESQUINA PORVENIR SN
84394000-5;Constructora Inca Ltda.;Casas Mirador;22049;;Av. El Buen retiro s/n
76279401-2;CONSTRUCTORA PAILLAHUE SPA;Casas Renaca Bajo;22887;p.schencke@camporeal.cl;Conguillio 551
76779980-2;Sociedad Constructora Francisco Lorca Ltda.;Casas Viejas II;22291;oojeda@cfl.cl;Marta Ossa Ruiz 601
76779980-2;Sociedad Constructora Francisco Lorca Ltda.;Casas Viejas III;22684;oojeda@cfl.cl;Marta Ossa Ruiz 601
76779980-2;Sociedad Constructora Francisco Lorca Ltda.;Casas Viejas IV;23038;oojeda@cfl.cl;Marta Ossa Ruiz 601
77312730-1;Constructora Andreu Ltda.;CASAS VISTA LAGUNA;22646;cespinoza@andreu.cl;AVENIDA PIE ANDINO S/N
76301468-1;Taller Urbano E.I.R.L.;Casetas de Guardia Lizcal/Tres Marias;22928;jgonzalez@tallerurbano.cl;Calle Los Vientos  Sitios 17 al 24
76241974-2;CONSTRUCTORA MVN LTDA;CASINO AES GENER - PUERTO VENTANAS;24143;cleon@constructoramvn.cl;CAMINO COSTERO S/N
16136436-3;ALEJANDRO ESTEBAN SOTO MANSILLA;CASINO DREAMS PTO. VARAS;24212;a.soto25@live.cl;DEL SALVADOR  21
92770000-K;EMP. CONST. MOLLER Y PEREZ COTAPOS S.A;CASONA G. PATAGONIA VIRGIN II ETAPA;23654;;AV. LOS LEONES 957
92770000-K;EMP. CONST. MOLLER Y PEREZ COTAPOS S.A;CASONA H. PATAGONIA VIRGIN II ETAPA;23652;;AV. LOS LEONES 957
92770000-K;EMP. CONST. MOLLER Y PEREZ COTAPOS S.A;CASONA I.PATAGONIA VIRGIN II ETAPA;23650;;AV. LOS LEONES 957
92770000-K;EMP. CONST. MOLLER Y PEREZ COTAPOS S.A;CASONA L PATAGONIA VIRGIN II ETAPA;23642;;AV. LOS LEONES 957
92770000-K;EMP. CONST. MOLLER Y PEREZ COTAPOS S.A;CASONA M PATAGONIA VIRGIN II ETAPA;23640;;AV LOS LEONES 957
76097648-2;Constructora Doce Ltda.;Cava Torres;24539;sebastianv@constructoradoce.cl;Las Bordolesas 7099
96869030-2;CONSTRUCTORA CUEVAS Y PURCELL S.A.;CD AGROCOMMERCE;24175;;JOSE MIGUEL INFANTE 8745
76440370-3;Constructora Ibanez Barahona Ltda.;CEF CHICUREO - BOWLING;22272;ALEJANDROIL@ECIBL.CL;CONDOMINIO LAS BRISAS DE CHICUREO S/N
76440370-3;Constructora Ibanez Barahona Ltda.;CEM;21790;;Logrono 3871
76117507-6;HDK INGENIERIA Y CONSTRUCCION LTDA.;CENTRAL MINIHIDRO DE PASADA;23896;AWULF@HDKCONSULTORES.CL;CAMINO NELTUME S/N
78342920-9;Empresa de Constructores Coin Ltda.;Centro Bodegas y Ofiinas El Montijo;22962;patricio.garcia@coinltda.cl;Avenida Jose Miguel Infante 8765
77578300-1;CONSTRUCTORA SAN ANTONIO LTDA.;CENTRO COMERCIAL ELTIT VALDIVIA;28017;NICOLASMONROY@GMAIL.COM;Camilo Henriquez 780
76228707-2;Bpi Construcciones s.a.;Centro Comercial San Alfonso;24366;mbaranao@bpiconstrucciones.cl;San Alfonso  649
77380180-0;CONSTRUCTORA BAKER;CENTRO CULTURAL - CASTRO;27923;hardymolina@hotmail.com;SERRANO 320
76111101-9;PECSA CHILE S.A.;CENTRO CULTURAL LA CALERA;22373;mklenner@pecsachile.cl;AVENIDA LATORRE 180
76086980-5;INMOBILIARIA Y CONSTRUCTORA FELINICO LTDA;CENTRO CULTURAL PAINE;24316;sergiohh@felinico.cl;18 DE SEPTIEMBRE 39
78902950-4;CONSTRUCTORA GOMEZ RECABARREN LTDA;CENTRO CULTURAL QUILLOTA;24595;cgr.marco@gmail.com;ariztia 40
76139487-8;LUMINA CHILE SPA;Centro cultural San Ramon;22982;mobreque@pixels.cl;Av. Santa Rosa 9441
78702530-7;Constructora Pio V Ltda.;Centro de Detencion Preventivo;23139;ecastillo@piov.cl;Chacabuco 990
78227100-8;Sociedad Aridos y Petreos Maipo S.A.;Centro de distribucion Blue Express;22171;rhernandez@cingher.cl;Calle los maitenes c/ Boulebard S/N
77749790-1;CONSTRUCTORA MECANO LTDA.;CENTRO DE DISTRIBUCION EL SALTO;24182;cdquilicura.virginia@gmail.com;LIMACHE 3549
77749790-1;CONSTRUCTORA MECANO LTDA.;CENTRO DE DISTRIBUCION EL SALTO - JDF;24193;cdquilicura.virginia@gmail.com;LIMACHE 3459
86454800-8;CONSTRUCTORA QUEYLEN S.A.;CENTRO DE DISTRIBUCION LA VARA;24058;jliberona@queylen.cl;SAN EUGENIO 12911
83145600-0;CONSTRUCTORA VALKO S.A.;CENTRO DE REHABILITACIoN INFANTIL VALDIVIA;21987;esilva@valko.cl;AV. SHNEIDER S/N
78630550-0;SOCIEDAD CONSTRUCTORA RICARDO GONZALEZ Y CIA. LTDA;CENTRO DE SALUD, DR. CARLOS AVENDAnO;22381;h.sanchezgajardo@yahoo.com;AVENIDA TENIENTE CRUZ 1087
88777700-4;SOC. DE ING Y CONST. CASTELLANI Y MUnOZ S.A.;CENTRO NUEVO ETAPA 3;23120;jcortes@incm.cl;AVENIDA SAN JUAN  133
76078666-7;CONSTRUCTORA TRANCO S.A.;CENTRO ODONTOLOGICO LUIS PASTEUR;22009;fgonzalez@tranco.cl;LUIS PASTEUR S/N
77312730-1;Constructora Andreu Ltda.;CEPECH ALAMEDA;22625;daedo@andreu.cl;ALAMEDA 2150
79742900-7;CONSTRUCTORA Y COMERCIAL COVAL LTDA.;CERRO LA CRUZ;22099;;CERRO LA CRUZ 10650
77592440-3;DNG Ingenieria y Construccion S.A.;Cerro Monasterio - Muro Contecion;23704;pmartinez@dngingenieria.cl;Loma La Cruz Loteo D6 S/N
76111101-9;PECSA CHILE S.A.;CESFAM CANELA BAJA;22494;jcorradi@pecsachile.cl;JULIO AGUILERA 740
96988100-4;INGENIERIA Y CONSTRUCCION PUERTO PRINCIPAL S.A;CESFAM CHILLEPIN;22849;paraya@icpp.cl;CAMINO PUBLICO CHILLEPIN RUTA D 835
77002380-7;SOC. CONST. E INMOBILIARIA TRIMETAL LTDA;CESFAM CHONCHI;24670;adquisiciones2@trimetal.cl;PEDRO AGUIRRE CERDA 309
96835410-8;CVC S.A.;Cesfam Chonchi;21827;rrubio@cvc.cl;Jose Pinto Perez  421
76200258-2;AGENCIA ECISA CHILE COMPAÑIA GENERAL DE CONSTRUCCION S.A.;CESFAM DE RODELILLO;24409;roberto_reygadas@ecisa.cl;LA MERCED, RODELILLO 4350
76204860-4;CONSTRUCTORA PROAS LIMITADA;Cesfam El Romeral;22482;malvear@proas.cl;Brazil 640
78702530-7;Constructora Pio V Ltda.;CESFAM El Tabo;26858;fdiaz@piov.cl;San Marcos 729
76543280-4;INMOB Y CONSTRUC SAN MATEO S.A.;CESFAM GOMEZ CARREnO - VInA DEL MAR;22201;fernandougalde@sm.michell.cl;PJE SUR S/N
76111101-9;PECSA CHILE S.A.;CESFAM LA LIGUA;23400;hmoreno@pecsachile.cl;Av. Papudo  655
96611980-2;CONSTRUCTORA ANGELMO;CESFAM QUEMCHI;23250;lgallegos.angelmo@gmail.com;AVENIDA JOHNTONE S/N
